# rustc built-in lint inventory — the complete `rustc -Whelp` set.
#
# Extracted mechanically on 2026-08-19 from the toolchain this repository builds with:
#   rustc 1.97.1 (8bab26f4f 2026-07-14) / clippy 0.1.97 (8bab26f4f6 2026-07-14)
#   $ clippy-driver -Whelp        # "Lint checks provided by rustc" — 244 lints
#
# The extraction point is fixed so the table can be re-derived; `jals-lint/MAPPING-rustc-clippy.md`
# is the prose that explains the buckets, and `jals-lint/tests/inventory.rs` is what keeps this file
# and the linter's own registry in step.
#
# Columns: lint <TAB> rustc default <TAB> bucket <TAB> jals rule <TAB> note
#   bucket: M = 実装済みの jals rule に写る       N = 移植可能・未実装（roadmap）
#           R = Rust 固有（構文名指し）           X = Rust 固有（機構レベル）
#           D = 意図的に不採用（note に理由）     C = lint ではない（driver / lint 機構 / cargo）
#   jals rule: M / N のみ。同じ名前が複数行に出るのは多対一の写像で、正しい。
#   note:      D の理由。N では、その jals rule が **既に実装済み** で、この行が既存 rule の
#              拡張であることを示す `既存 rule の拡張`。ほかの bucket では空。
enum-intrinsics-non-enums	deny	R		
explicit-builtin-cfgs-in-flags	deny	X		
ill-formed-attribute-input	deny	M	cfg	
incomplete-include	deny	R		
ineffective-unstable-trait-impl	deny	R		
invalid-atomic-ordering	deny	R		
invalid-from-utf8-unchecked	deny	R		
invalid-macro-export-arguments	deny	R		
invalid-null-arguments	deny	N	null-argument	
invalid-reference-casting	deny	R		
invalid-type-param-default	deny	R		
legacy-derive-helpers	deny	R		
let-underscore-lock	deny	R		
long-running-const-eval	deny	X		
macro-expanded-macro-exports-accessed-by-absolute-paths	deny	R		
mutable-transmutes	deny	R		
named-asm-labels	deny	R		
never-type-fallback-flowing-into-unsafe	deny	R		
no-mangle-const-items	deny	R		
out-of-scope-macro-calls	deny	R		
overflowing-literals	deny	D		javac 自身が拒否する。lint が言い直しても何も足さない
patterns-in-fns-without-body	deny	R		
proc-macro-derive-resolution-fallback	deny	R		
pub-use-of-private-extern-crate	deny	R		
repr-transparent-non-zst-fields	deny	R		
semicolon-in-expressions-from-macros	deny	R		
test-unstable-lint	deny	C		
text-direction-codepoint-in-comment	deny	N	bidirectional-text	
text-direction-codepoint-in-literal	deny	N	bidirectional-text	
unconditional-panic	deny	N	unconditional-exception	
undropped-manually-drops	deny	R		
uninhabited-static	deny	R		
unknown-crate-types	deny	X		
useless-deprecated	deny	D		`@Deprecated` の無効な位置は javac の -Xlint:dep-ann が既に扱い、jals が二重に言う価値がない
varargs-without-pattern	deny	R		
